"","taxa_name","stage","stage_code","cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","abundance_10m2","zooplankton_count","totcnt","primary_flag","secondary_flag","stage_code.x","stage_code.y","MEAN_LENGTH_UM","MEAN_LENGTH_TYPE","eqn","b","int","LengthType","Weight_unit","Weight_type","weight","PUBLISHED_MEAN_WEIGHT_UM","PUBLISHED_weight_type","PUBLISHED_weight_unit","convertedDW","Per_C_DW","Source","convertedCARBON","r","volume","density","ESD","biomass","biomass_mg"
"1","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN608","L11",19,"2018-02-03 18:34:36","Day",0.75,2.83,32,5.91668683950931,0,14,655,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,0,0
"2","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN617","L1",1,"2018-07-20 18:45:31","Day",0.75,79.76,512,1.7061580218995,0,8,638,3,"TDR reading missing - Net max depth approximate","adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,0,0
"3","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN687","L4",5,"2022-07-30 12:15:54","Day",0.75,4.22,512,3.02522603120712,12495.5204811342,47,536,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,3223714.82187466,3223.71482187466
"4","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN644","L3",5,"2019-08-21 08:15:02","Night",0.75,88,1024,2.27824243361995,0,33,541,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,0,0
"5","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN668","MVCO",25,"2021-07-21 11:30:00","Day",0.75,4.97,1024,1.23017146936091,0,0,523,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,0,0
"6","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN706","L7",14,"2023-08-10 22:32:54","Day",0.75,19.67,32,8.08597721681699,36265.7859482233,376,526,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,9356197.03594846,9356.19703594846
"7","Calanus finmarchicus","Adult","ZOO_STAGE_000","AR38","L3",2,"2019-09-20 20:33:05","Day",1,38,256,6.07765799831477,0,0,508,3,"TDR reading missing - Net max depth approximate","adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,0,0
"8","Calanus finmarchicus","Adult","ZOO_STAGE_000","AR38","L11",12,"2019-09-21 15:18:00","Day",1,15,64,6.93616047479511,0,0,419,3,"TDR reading missing - Net max depth approximate","adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,0,0
"9","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN644","L7",8,"2019-08-22 02:51:00","Night",0.75,54,128,3.99975157802441,5460.65499679018,41,402,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,1408792.41299907,1408.79241299907
"10","Calanus finmarchicus","Adult","ZOO_STAGE_000","EN706","L9",13,"2023-08-10 08:24:56","Night",0.75,1.98,16,6.07910438832231,788.384216834551,3,660,1,NA,"adult_10m2","ZOO_STAGE_000",2562,"PL","log DW[ug] = (3.264 * log(PL[um]) - 8.714",3.264,-8.714,"PL","ug","DW",257.989639306489,286.5,"DW","ug",257.989639306489,48,"",123.835026867115,1281,8805134586.30593,2.92999086814327e-08,10.0964149646398,203394.959736074,203.394959736074
